trade_id,entry_time,exit_time,duration_minutes,direction,entry_price,exit_price,stop_loss,take_profit,exit_reason,pnl,pnl_pct,risk_reward_achieved,max_profit_pct,max_loss_pct,candles_in_trade,position_size,commission,swap,net_pnl
T001,2024-01-01 03:44:00,2024-01-01 03:45:00,1.0,BUY,2028.302,2027.19,2026.41,2031.1399999999996,Early: EMA crossback,-1.11,-0.05,-0.59,0,0,0,0.01,0,0,-1.11
T002,2024-01-01 03:45:00,2024-01-01 03:48:00,3.0,SELL,2027.188,2028.46,2028.46,2025.2800000000002,SL hit,-1.27,-0.06,-1.0,0,0,0,0.01,0,0,-1.27
T003,2024-01-01 03:48:00,2024-01-01 03:49:00,1.0,BUY,2028.652,2027.2,2027.2,2030.83,SL hit,-1.45,-0.07,-1.0,0,0,0,0.01,0,0,-1.45
T004,2024-01-01 03:49:00,2024-01-01 04:01:00,12.0,SELL,2026.328,2024.54,2028.85,2022.545,Early: Price stalled for 10 candles,1.79,0.09,0.71,0,0,0,0.01,0,0,1.79
T005,2024-01-01 05:37:00,2024-01-01 05:47:00,10.0,BUY,2018.942,2018.03,2017.38,2021.2849999999999,Early: EMA crossback,-0.91,-0.05,-0.58,0,0,0,0.01,0,0,-0.91
T006,2024-01-01 05:47:00,2024-01-01 05:49:00,2.0,SELL,2018.028,2015.3100000000002,2019.84,2015.3100000000002,TP hit,2.72,0.13,1.5,0,0,0,0.01,0,0,2.72
T007,2024-01-01 06:27:00,2024-01-01 06:30:00,3.0,BUY,2018.042,2015.22,2014.75,2022.9799999999998,Early: EMA crossback,-2.82,-0.14,-0.86,0,0,0,0.01,0,0,-2.82
T008,2024-01-01 06:30:00,2024-01-01 06:41:00,11.0,SELL,2015.218,2011.5850000000005,2017.6399999999999,2011.5850000000005,TP hit,3.63,0.18,1.5,0,0,0,0.01,0,0,3.63
T009,2024-01-01 06:50:00,2024-01-01 06:57:00,7.0,BUY,2017.3719999999998,2016.08,2015.8700000000001,2019.6249999999995,Early: EMA crossback,-1.29,-0.06,-0.86,0,0,0,0.01,0,0,-1.29
T010,2024-01-01 06:57:00,2024-01-01 07:05:00,8.0,SELL,2016.078,2017.45,2018.8999999999999,2011.8450000000003,Early: EMA crossback,-1.37,-0.07,-0.49,0,0,0,0.01,0,0,-1.37
T011,2024-01-01 07:05:00,2024-01-01 07:09:00,4.0,BUY,2017.452,2015.46,2014.51,2021.865,Early: EMA crossback,-1.99,-0.1,-0.68,0,0,0,0.01,0,0,-1.99
T012,2024-01-01 07:09:00,2024-01-01 07:19:00,10.0,SELL,2015.458,2013.22,2019.26,2009.755,Early: Price stalled for 10 candles,2.24,0.11,0.59,0,0,0,0.01,0,0,2.24
T013,2024-01-01 07:22:00,2024-01-01 07:32:00,10.0,BUY,2017.152,2017.11,2015.26,2019.9900000000002,Early: Price stalled for 10 candles,-0.04,-0.0,-0.02,0,0,0,0.01,0,0,-0.04
